,Origin,Destination,Time (min),Summary,Directions
0,Techspace,Finnish Pulled Pork,24.616666666666667,"U8, U7",Head northeast on Lobeckstraße. Go for 72 m.Turn right onto Oranienstraße. Go for 179 m.Walk left around the roundabout and turn onto Moritzplatz. Go for 65 m.Go to the station U Moritzplatz and take the rail U8 toward S+U Hermannstr.. Follow for 3 stations.Get off at U Hermannplatz.Take the rail U7 toward S+U Rathaus Spandau. Follow for 2 stations.Get off at U Gneisenaustr..Head west on Gneisenaustraße. Go for 70 m.Turn left onto Zossener Straße. Go for 74 m.Arrive at Zossener Straße. Your destination is on the right.
1,Finnish Pulled Pork,Munch's Hus,21.133333333333333,U7,Head north on Zossener Straße. Go for 74 m.Turn right onto Gneisenaustraße. Go for 70 m.Go to the station U Gneisenaustr. and take the rail U7 toward S+U Rathaus Spandau. Follow for 3 stations.Get off at S+U Yorckstr..Head west on Yorckstraße. Go for 230 m.Turn right onto Bülowstraße. Go for 232 m.Turn right onto Bülowstraße. Go for 141 m.Arrive at Bülowstraße. Your destination is on the right.
2,Munch's Hus,Panama Restaurant & Bar,14.333333333333334,,"Head north on Bülowstraße. Go for 24 m.Take the street on the left, Bülowstraße. Go for 64 m.Take the street on the right, Bülowstraße. Go for 297 m.Turn right onto Potsdamer Straße. Go for 339 m.Turn right onto Pohlstraße. Go for 114 m.Arrive at Pohlstraße. Your destination is on the left."
3,Panama Restaurant & Bar,Saeson Nordic Cuisine,7.7,,Head west on Pohlstraße. Go for 114 m.Turn right onto Potsdamer Straße. Go for 336 m.Arrive at Potsdamer Straße. Your destination is on the right.
4,Saeson Nordic Cuisine,Ayan Filipino Streetfood,0.5166666666666667,,Head southwest on Potsdamer Straße. Go for 31 m.Arrive at Potsdamer Straße.
5,Ayan Filipino Streetfood,Baku Napoli,7.183333333333334,M48,"Head northeast on Potsdamer Straße. Go for 27 m.Go to the stop Berlin, Lützowstr./Potsdamer Str. and take the bus M48 toward Berlin, Busseallee. Follow for 2 stops.Get off at U Bülowstr..Head west on Bülowstraße. Go for 36 m.Turn left onto Potsdamer Straße. Go for 52 m.Arrive at Potsdamer Straße. Your destination is on the left."
6,Baku Napoli,Odessa Mama,19.916666666666668,"U2, U4","Head north on Potsdamer Straße. Go for 52 m.Turn right onto Bülowstraße. Go for 36 m.Go to the station U Bülowstr. and take the rail U2 toward Berlin, U Theodor-Heuss-Platz. Follow for 1 station.Get off at U Nollendorfplatz.Take the rail U4 toward S+U Innsbrucker Platz. Follow for 4 stations.Get off at S+U Innsbrucker Platz.Head southeast on Hauptstraße. Go for 125 m.Turn right onto Innsbrucker Platz. Go for 42 m.Arrive at Innsbrucker Platz. Your destination is on the left."
7,Odessa Mama,La tía rica,29.133333333333333,"U4, U2","Head northwest on Innsbrucker Platz. Go for 42 m.Turn left onto Hauptstraße. Go for 125 m.Go to the station S+U Innsbrucker Platz and take the rail U4 toward U Nollendorfplatz. Follow for 4 stations.Get off at U Nollendorfplatz.Take the rail U2 toward Berlin, U Theodor-Heuss-Platz. Follow for 3 stations.Get off at U Ernst-Reuter-Platz.Head north on Hardenbergstraße. Go for 97 m.Turn right onto Knesebeckstraße. Go for 257 m.Turn left onto Goethestraße. Go for 34 m.Arrive at Goethestraße. Your destination is on the right."
8,La tía rica,Makenene,16.483333333333334,,Head west on Goethestraße. Go for 822 m.Turn right onto Weimarer Straße. Go for 155 m.Arrive at Weimarer Straße. Your destination is on the right.
9,Makenene,La Batea,6.716666666666667,,Head south on Weimarer Straße. Go for 155 m.Turn slightly right. Go for 38 m.Turn right. Go for 48 m.Turn left. Go for 41 m.Turn right. Go for 63 m.Turn slightly left onto Krumme Straße. Go for 50 m.Arrive at Krumme Straße. Your destination is on the left.
